year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,CBE_Sum,height,weight,award_player,award_coach,playersAge
5,NYL,0.0,0.0,NYL,EA,6,Y,N,N,N,New York Liberty,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,16,18,34,11,6,5,12,11,13,6850,212346,Madison Square Garden (IV),adubari99w,1,16,18,0,0,0.3574814573177625,71.72727272727273,166.63636363636363,0,0,28.36363636363626
5,PHO,0.0,0.0,PHO,WE,7,N,N,N,N,Phoenix Mercury,801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,8,26,34,6,11,2,15,5,19,6925,144511,US Airways Center,grafca99wc,0,0,0,0,0,0.2919077278083177,73.63636363636364,172.36363636363637,0,0,25.818181818181756
5,SAC,3.0,3.0,SAC,WE,3,Y,W,L,N,Sacramento Monarchs,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,19,15,34,12,5,7,10,13,11,6825,155578,ARCO Arena (II),whisejo99w,0,12,4,3,3,0.42355537281654704,72.5,165.58333333333334,0,0,29.5
5,SAS,0.0,0.0,SAS,WE,6,N,N,N,N,San Antonio Silver Stars,792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,2427,12,22,34,9,8,3,14,10,14,6825,176526,AT&T Center,brownde01w,2,16,16,0,0,0.4259346546665083,71.91666666666667,163.08333333333334,0,0,27.5
5,SEA,0.0,0.0,SEA,WE,5,Y,N,N,N,Seattle Storm,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,18,16,34,13,4,5,12,11,13,6850,120857,KeyArena at Seattle Center,donovan99w,0,18,16,0,0,0.43867645213713874,72.11111111111111,165.77777777777777,0,0,27.888888888888914
5,WAS,0.0,0.0,WAS,EA,7,Y,N,N,N,Washington Mystics,896,2191,381,507,157,505,382,703,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,334,781,1115,591,565,251,468,119,2498,9,25,34,3,14,6,11,7,17,6875,238710,Verizon Center,adamsmi01w,0,0,0,0,0,0.4093460416117467,72.16666666666667,161.25,0,0,26.666666666666742
6,CHA,0.0,0.0,CHA,EA,5,N,N,N,N,Charlotte Sting,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,116383,Charlotte Coliseum,boguemu01w,2,0,0,0,0,0.3958053555500942,72.0625,168.4375,0,0,28.1875
6,CON,5.0,3.0,CON,EA,1,Y,W,W,L,Connecticut Sun,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,18,16,34,10,7,8,9,14,6,6900,114017,Mohegan Sun Arena,thibami99w,0,18,16,5,3,0.425726593452068,71.4,170.8,0,0,26.700000000000045
6,DET,1.0,2.0,DET,EA,3,Y,L,N,N,Detroit Shock,874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,17,17,34,8,9,9,8,11,9,6850,160860,The Palace of Auburn Hills,laimbbi01w,0,17,17,1,2,0.4651340523830207,71.86666666666666,166.53333333333333,0,0,28.0
6,HOU,0.0,0.0,HOU,WE,6,Y,N,N,N,Houston Comets,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,13,21,34,9,8,4,13,7,15,6850,137455,Toyota Center,chancva99w,0,13,21,0,0,0.4345272405284564,72.0,160.25,0,0,30.166666666666742
